# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
4.224e+01	3.759e+03	1.509e-01	2.799e+02	-1.083e+00
4.224e+01	1.035e+03	1.134e-01	3.724e+02	-7.802e-01
4.224e+01	7.006e+02	8.812e-02	4.793e+02	5.925e-01
4.224e+01	2.265e+02	6.777e-03	6.232e+03	-1.042e+00
4.348e+01	3.661e+03	1.513e-01	2.873e+02	-1.128e+00
4.348e+01	7.612e+02	8.573e-02	5.072e+02	5.700e-01
4.348e+01	1.126e+03	1.199e-01	3.626e+02	-8.985e-01
4.348e+01	2.613e+02	8.039e-03	5.409e+03	-8.826e-01
4.472e+01	3.614e+03	1.592e-01	2.808e+02	-1.133e+00
4.472e+01	8.607e+02	9.278e-02	4.820e+02	4.253e-01
4.472e+01	6.096e+02	2.830e-02	1.580e+03	-8.262e-01
4.472e+01	1.246e+03	1.851e-01	2.416e+02	-5.799e-01
4.472e+01	8.901e+02	1.162e-01	3.848e+02	-1.274e+00
4.596e+01	3.964e+03	1.588e-01	2.895e+02	-1.238e+00
4.596e+01	2.047e+03	1.233e-01	3.728e+02	-1.039e+00
4.596e+01	6.292e+02	1.811e-02	2.538e+03	-9.562e-01
4.596e+01	7.914e+02	9.030e-02	5.090e+02	7.063e-01
4.596e+01	4.048e+02	5.762e-02	7.976e+02	-4.580e-02
4.720e+01	3.396e+03	1.633e-01	2.891e+02	-1.192e+00
4.720e+01	1.811e+03	1.268e-01	3.721e+02	-1.056e+00
4.720e+01	7.591e+02	2.833e-02	1.666e+03	-9.843e-01
4.720e+01	7.124e+02	8.223e-02	5.740e+02	5.636e-02
4.720e+01	9.280e+02	1.952e-01	2.418e+02	-5.646e-01
4.845e+01	3.189e+03	1.676e-01	2.890e+02	-1.247e+00
