# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
7.800e+01	3.247e+03	3.481e-01	2.241e+02	-1.523e+00
7.800e+01	4.907e+03	4.675e-01	1.668e+02	6.081e-01
8.000e+01	6.771e+03	1.933e-01	4.139e+02	-4.496e-01
8.000e+01	1.001e+04	3.287e-01	2.434e+02	2.618e-01
8.000e+01	4.003e+03	1.166e-01	6.863e+02	-2.666e-02
8.000e+01	8.207e+03	4.939e-01	1.620e+02	-2.400e-02
8.000e+01	8.128e+03	8.824e-01	9.066e+01	9.291e-03
8.200e+01	8.963e+03	1.960e-01	4.183e+02	-5.182e-01
8.200e+01	5.587e+03	3.299e-01	2.485e+02	4.119e-01
8.200e+01	3.900e+03	1.184e-01	6.924e+02	2.905e-02
8.200e+01	3.700e+03	1.715e-01	4.780e+02	-8.089e-01
8.200e+01	4.958e+03	5.986e-01	1.370e+02	3.175e-01
8.400e+01	8.507e+03	2.016e-01	4.167e+02	-4.830e-01
8.400e+01	3.644e+03	1.185e-01	7.087e+02	2.663e-02
8.400e+01	5.021e+03	2.751e-01	3.053e+02	3.298e-01
